en,ko
The idea that aliens landed in New York City is a bunch of hogwash.,외계인이 뉴욕에 착륙했다는 생각은 말도 안 되는 소리입니다.
I finally got to the bottom of why he was angry at me.,왜 그가 나에게 화가 나 있는지 마침내 알게 되었다.
That guy over there is my neighbor.,저기 있는 남자가 내 이웃이에요.
Don't let the administration off the hook.,정부의 잘못을 봐주면 안 돼요.
We shelled out a lot of money to eat at that fancy restaurant.,우리는 그 고급 레스토랑에서 돈을 많이 썼어요.
"Inn trying to build a house by himself, he had bitten off more than he could chew.","그는 혼자 집을 지으려고 했지만, 그에게는 힘에 벅찬 일이었다."
His surprise birthday party was canceled because someone let the cat out of the bag.,누군가가 비밀을 말해줘서 그의 깜짝 생일 파티는 취소되었습니다.
"After a long, tiring day, you need a good night's sleep, and then you will be right as rain the following day.",길고 피곤한 하루를 보낸 후엔 숙면을 취하면 다음날 괜찮아 질 거야.
"Bill Jones, Jr., is a chip off the old block. He's a banker just like his father. ",빌 존스 주니어는 아버지와 똑같다. 그는 또 아버지와 마찬가지로 은행가이다.
She made the chocolate from scratch.,그녀는 초콜릿을 처음부터 만들었다.
When I tried to argue about my fine for a traffic violation the judge charged me with contempt of court. I really went out of the frying pan into the fire. ,"교통 위반으로 벌금이 부과되어 내가 항변하려고 하니까, 재판관은 내게 법정 모독죄를 적용하였다. 엎친 데 덮친 격이 되고 말았다."
I saw red when he told me that he wouldn't be at work tomorrow.,그가 내일 출근하지 않을 거라고 나에게 말했을 때 나는 몹시 화가 났습니다.
I spent all money last weekend. So I need some plan to cut corners.,나는 지난 주말 돈을 다 써버렸어. 그래서 돈을 아껴쓸 계획을 세워야겠어.
His boss conned him into working on the weekend for no pay.,그의 상사는 그가 주말에 무보수로 일하도록 속였습니다.
"Let's take a rain check. First of all, you better pull yourself together.","다음을 기약합시다, 일단 네 마음을 가다듬는게 좋겠어."
"you're barking up the wrong tree, pal.",사람을 잘못 찾아왔다고요.
Covid rained on the whole world's parade and took away their happinness.,코로나가 온 세계를 다 망쳐놨어. 모든 행복을 다 가져갔어.
 Mind if I take a rain check on that drink? I've got to work late tonight.,그 음료는 다음 기회로 미뤄도 될까요? 오늘 밤 늦게까지 일해야 해요.
He can’t pay his bills either. He is in the same boat as you.,그 또한 빚을 갚을 수 없어 어려운 상황에 처해 있습니다. 그는 당신과 같은 처지입니다.
"Whenever I try to bake something, I find that the devil is in the detail.","베이킹 할 때마다 느끼는 건데, 한끗 차이 더라고요."
Don't harp on losing your job; it only makes you more depressed.,실직에 연연하지 마세요. 그것은 당신을 더 우울하게 만들 뿐입니다.
"Many people have got on the bandwagon of protest, diluting the real issues and making a mockery of protestors' problems.",많은 사람들이 시위의 흐름에 편승하여 실제 문제를 희석시키고 시위자들의 문제를 조롱했습니다.
May be you should just call it a day.,그냥 이만 끝내는 것이 좋을거야.
I can tell by the way she spoke that she was loaded.,그녀가 말을 하는 것을 보면 술에 취했다는 것을 알 수 있습니다.
"He said he didn't want the job anway, but that's just sour grapes.","그는 어차피 자기도 그 직장을 원한 것은 아니었다고 말하지만, 그것은 그냥 오기였다."
Mary's daughter only visits her once in a blue moon.,메리의 딸은 그녀를 거의 찾아오지 않는다.
I still can't wrap my brain around it.,나는 아직도 이해흘 못 하겠어.
This is so random.,정말 뜬금없네.
The travel industry experienced a perfect storm due to COVID-19.,여행 업체는 코로나로 인해 최악의 시나리오를 경험했다.
"Now that most of the inventory is done, we are beginning to see daylight.",이제 대부분의 재고가 완료되어 햇빛을 보기 시작했습니다.
I know a way we can make a fast buck.,돈을 빨리 벌 수 있는 방법을 알고 있습니다.
Holy Mackerel! Look at that man's motorcycle.,우와! 저 남자의 오토바이 봐.
Relationship and compromise are like two peas in a pod.,관계와 타협은 한 덩어리의 두 완두콩과 같이 똑같습니다.
Resolve a small problem on time may prevent a big trouble it's like the old saying a stitch in time saves nine.,작은 문제를 제 시간에 해결하면 큰 문제를 예방할 수 있습니다. 한 바늘땀이 아홉 바늘을 절약한다는 옛말과 같습니다.
Do you think maybe you’ve gone overboard?,아마도 너무 과도한 것 같아요?
She reminded me that I had to prepare for my trip out of town. I wish she would get off my back.,그녀는 제가 지방 여행을 준비해야 한다는 것을 상기시켜 주었습니다. 저는 그녀가 잔소리를 그만 했으면 좋겠습니다.
She has always seemed distant and secretive. She has many skeletons in her closet.,그녀는 언제나 먼지 같이 멀리하고 비밀스럽게 보였어요. 그녀는 많은 비밀을 간직하고 있어요.
She knew her coworkers will eventually forget how she messed up the filing system in the office. She couldn’t wait for the incident to blow over.,그녀는 동료들이 사무실의 서류 정리 시스템을 얼마나 엉망으로 만들었는지 결국 잊을 것이라는 것을 알고 있었습니다. 그녀는 사건이 터질 때까지 기다릴 수 없었습니다.
She put her cards on the table and told everyone what she really thought.,"그녀는 솔직하게, 그녀의 진짜 생각을 모두에게 말했습니다."
He held back his feelings and acted as if everything was alright.,그는 자신의 감정을 억누르고 마치 모든 것이 괜찮은 것처럼 행동했습니다.
He realized he could get along without his partner.,그는 파트너 없이도 잘 지낼 수 있다는 것을 깨달았다.
The car salesman came on too strong and angered my wife.,자동차 판매원이 지나치게 격한 말로 압도하고 아내를 화나게 했습니다.
"If you go and visit him, you are running the risk of getting sick too.",병문안을 가면 병에 걸릴 위험도 있습니다.
She thinks she is better than everyone else. She always looks down her nose at others.,그녀는 자신이 다른 사람들보다 낫다고 생각합니다. 그녀는 항상 다른 사람들을 무시합니다.
She's peachy.,그녀는 정말 멋져.
Her comment really hit below the belt.,그녀의 말은 누군가에게 잔인하고 부당하게 상처를 주었습니다.
It is good to keep vaccinations up to date as An ounce of prevention is worth a pound of cure.,예방은 치료보다 낫다는 말이 있기 때문에 예방 접종을 최신 상태로 유지하는 것이 좋습니다.
"That boy wants to be the captain of the team, but does he cut the mustard?","저 소년은 팀의 주장이 되고 싶어하지만, 그는 성공하나요?"
That'st the last straw. I can't take any more of your complaning about every little thing.,참을 만큼 참았다. 사소한 모든것에 불평하는 너를 견디지 못하겠어.
"When she couldn't go to school because of her illness, she significantly fell behind in her work.","그녀는 병 때문에 학교에 갈 수 없게 되자, 일에서 크게 뒤쳐졌습니다."
"Harvey, eye on the ball. This issue here is you tried to torpedo a client.","하비, 중요한 일에 집중해, 중요한 건 자네가 의뢰인에게 한방 먹이려고 한건데."
It really is incredibly weird when you wrap your head around it.,자네가 그것을 이해할 때 정말이지 믿을 수 없을 정도로 오싹하다.
"Breaking up with someone is always very difficult, but don't go making matters worse by doing it in a very public place.","누구랑 헤어지는 것은 언제나 어렵다, 설상가상으로 매우 공개적인 장소에서 함으로써 상황을 더욱 난처하게 하지 말아라."
"I have been bit once, and have made a vow never to settle upon any woman while I live, again. ",난 한번 물린 경험이 있다. 그리고 내가 살아있는 동안 다시는 어떤 여자에게도 정착하지 않으리라 맹세했다.
"A penny for your thoughts, sweetheart?","울 애기, 무슨 생각해?"
"I put in my two cents, so that everyone knew how I felt.",저는 제 마음을 모두가 알 수 있도록 제 의견을 말했습니다.
I think I might be barking up the wrong tree.,내가 아무래도 방향을 잘 못 짚은 것 같아요.
"Even though she only made a meager salary, she was still able to buy clothes, go to restaurants, and keep her head above water.","비록 그녀는 겨우 적은 월급을 벌었지만, 여전히 옷을 사고, 식당을 가고, 수입으로 생활할 수 있었습니다."
I am tired of working so hard. I just want to stay home and goof off.,저는 너무 열심히 일하는 것에 지쳤어요. 그냥 집에 있으면서 놀고 싶어요.
keeping your team in by the skin of your teeth isn't sufficient qualification for captaincy.,팀을 간신히 유지시킨다면 주장으로서의 자격이 충분하지 않.
"He’s very angry today. Every time I ask him a question, he jumps down my throat.",오늘 화가 많이 나셔서 제가 질문을 할 때마다 화가 나서 급하게 비판을 해요.
"It is not my idea of a perfect job, but at least I have my foot in the door with a great company.",완벽한 직장은 아니지만 적어도 나는 위대한 회사에 발을 담궜어.
I want to get even with her.,그녀에게 복수하고 싶다.
"Now you have to forget about her. Don't cry over spilt milk, she's married.",너는 이제 그녀를 잊어야 해. 이미 후회하긴 늦었어. 그녀는 결혼했어.
It's all about money.,돈이 최고야.
Our old TV didn’t work yesterday. I guess it finally bit the dust.,어제 우리 옛날 TV가 작동을 안 했어요. 드디어 고장났나 봐요.
Remember to plan your hike before venturing into the wilderness; the devil is in the details.,길을 떠나기 전에 여정을 계획하라는 말을 기억하세요. 사소한 것 같아도 빠뜨리면 절대 안 되는 거에요.
The offer on the table is a 10% wage increase.,고려하고 있는 제안은 10% 월급 인상이다.
I'll cross that bridge when I come to it.,그때 가서 생각할거야.
Let's call the movie theater in advance and see if they have any tickets left.,영화관에 미리 전화해서 표가 남았는지 알아보겠습니다.
