Idioms,en,ko
No buts.,You're grounded. No buts.,외출금지니까 토 달지마.
,Finish your meal. No buts.,잔말말고 다 먹어.
,Do your homework. No buts.,어서가서 숙제해. 예외는 없는 거야.
,No buts!,토 달지 말고!
,Clean your room. No buts.,청소해. 토 달지 말고.
play it by ear.,you should play it by ear.,그때 상황 봐서 결정해.
,I will play it by ear.,상황 보면서 진행 할게요.
,Judy doesn't like to make plans. She prefer play it by ear.,주디는 계획 세우는 걸 싫어해. 즉흥적으로 결정하는 것을 선호하지.
,Why donn't we just play it by ear?,우리 그냥 상황 보고 결정 하는게 어때?
, We can play it by ear and decide where to meet later,상황을 좀 보다가 어디서 만날지 결정할 수도 있어.
so random.,She is so random.,참 엉뚱해.
,The cover of this book is so random.,책 표지가 정말 쌩뚱 맞네.
,This is so random.,정말 뜬금없네.
,I found a rubber duck in my mailbox today. It's so random; I have no idea how it got there.,오늘 우편함에서 고무 오리를 발견했습니다. 너무 쌩뚱 맞아서 어떻게 거기 있는지 전혀 모르겠어요.
,"I was walking down the street, and out of nowhere, a clown on a unicycle rode past me. It was so random!",길을 걷고 있는데 갑자기 외발자전거를 탄 광대가 제 앞을 지나갔어요. 정말 뜬금없어요!
so full of yourself.,you are so full of yourself.,너 재수없어.
,stop being so full of yourself?,재수 없는 말 좀 그만 해줄래?
all about,I'm all about pizza.,피자를 너무 좋아해.
,He is all about me.,그는 내게 푹 빠져있어.
,It's all about money.,돈이 최고야.
,I'm all about trying new foods.,맛집 탐방하는 거 너무 좋아.
go south.,"Eventually, things go south.",결국 어떤 것들은 하향하게 될거야.
,"Clearly, things went south.",딱봐도 뭔가 나빠졌어.
,Everything's gonna go south.,모든게 악화될거야.
,"I read much of the night, and go south in the winter.",나는 밤이면 대개 책을 읽고 겨울이 되면 남쪽으로 가.
,The swallows go south in winter. ,제비들은 겨울철에 남쪽으로 간다.
,His carefully planned road trip started to go south when the car broke down in the middle of nowhere.,신중하게 계획된 그의 여행은 갑자기 차가 고장 나면서 상황이 악화되기 시작 했습니다.
,Why don't you ask your parents to go South this weekend?,이번 주말에 남쪽으로 놀러가자고 부모님께 얘기 해보는 게 어때요?
went bananas,people went bananas!,모든 사람들이 열광했어!
,The crowd is going bananas.,관객들이 열광하고 있어.
,Everybody's goinng banannas!,다들 환호하고 있어!
egg on,I egged her on.,내가 그녀를 부추겼다.
,Don't egg on my brother!,내 동생을 부추기지마!
,Don't egg on little kids to flight.,꼬마들을 부추겨서 싸움시키지마.
,He is always egging me on to drive faster.,그는 항상 나보고 빨리 운전하라고 부추겼다.
,He tried to egg on the citizen of the city. ,그는 그 도시의 시민을 선동하려고 했다.
cherry picker,you are a cherry picker.,너 되게 까다롭다.
,we had to use cherry pickers to get the appropriate camera angles.,적절한 카메라 각도를 얻으려면 승강 작업 플랫폼을 사용해야 했습니다.
peachy,She's peachy.,그녀는 정말 멋져.
,Everything is just peachy!,모든게 다 좋다!
,That's just peachy! I will go run some errand and come back.,아주 좋네요! 근처에 심부름 좀 보러 갔다가 다시 올게요.
,Everything is just peachy.,모든 게 그저 좋기만 해.
,"Beside that, everything's peachy. Thanks for asking.","게다가 모든게 다 좋아요, 물어봐줘서 고맙네요."
,stay peachy.,좋게 생각 하자.
,I am just peachy.,좋아요.
sour grapes.,That's just sour grapes.,그냥 오기 같아 보여.
,but maybe this is sour grapes.,하지만 어쩌면 이건 지기 싫어서 오기 부리는 거 일꺼야.
,I can assure you that this is not sour grapes on our part.,확실히 우리한텐 이건 오기가 아니야.
,Sour grape is a phrase used to describe someone who is sulkinng or jealous of not having something that others have.,못 먹는 감 찔러보기는 다른 사람은 가지고 있으나 본인은 가지고 있지 못함에 대하여 기분이 언짢아 하거나 질투하는 누군가를 묘사하기 위한 말이다.
,"at last he gave it up, and said to himself, The grapes are sour. I don't want sour grapes.","마지막으로 그는 포기하며 자기 자신에게 말했다. 저따위는 시시해, 난 오기 부리고 싶지 않아."
,"He said he didn't want the job anway, but that's just sour grapes.","그는 어차피 자기도 그 직장을 원한 것은 아니었다고 말하지만, 그것은 그냥 오기였다."
,"Well, they're sour anyway. ","어차피, 못 먹는 감이야."
,"He said that the prize money wasn't important to him, nut that was just sour grapes as he didn't win the competition.","그는 상금은 자신에게 중요하지 않다고 말했지만, 경쟁에서 이기지도 못한 터에 그런말을 하니 오기가 아니고 무엇이냐."
take it with a grain of salt.,"when he talks, sometimes you have to take it with a grain of salt.",그가 하는 말을 전부 곧이 곧대로 믿으면 안 돼.
apple of my eye.,I told her that she was the apple of my eye.,내게 있어 가장 소중한 사람은 그녀라고 직접 말했어.
butter up,everybody has to butter up rich man.,모든 사람들이 부자에게 아부를 떨었다.
apples and oranges.,He was no competition for me. It was like apples and oranges.,그는 나랑 비교할 게 없어. 완전히 다른 거야.
,People say it is like comparing apples and oranges.,사람들은 그건 비교 할 수 없는 거하고 말해.
,you are comparing apples and oranges.,너는 비교 할 수 없는 것을 비교하고 있어.
,Using the example of a plane crach on land is like comparing apples and oranges.,항공기 지상추락의 예를 드는 것은 터무니 없는 비교다.
,We have to be careful here that we do not compare apples and oranges.,우리는 이 지점에서 상관성이 없는 두 주제를 혼돈하지 않도록 신중해야 합니다.
,"Like apples and oranges, they are simply different.","사과와 오렌지 처럼, 그들은 단순히 다르다."
,"You can't compare those two companies, they're apples and oranges!","너는 두 회사를 비교할 수 없어, 그 들은 완전히 다르다."
,"My dad and my father-in-law are just apples and oranges, so they can't be in the same room.","내 아버지와 장인 어른은 완전히 달라서, 비교할 수 없어."
