,en,ko,pred_enko
0,"Once upon a time, there were three beautiful butterflies.","옛날 옛적에, 세 마리의 예쁜 나비가 있었어요.",옛날엔 세 가지 아름다운 느티가 있었다.
1,I felt like I have millions butterflies in my stomach.,너무 긴장 한 것 같았어요.,나는 수백만 명의 마음이 두근거린 것 같았어.
2,The deal was completely open and above board.,거래는 완전히 공개되었고 명백했습니다.,그 거래는 완전히 개방적이고 위급했다.
3,I left the keys on the board on your porch.,현관 게시판에 열쇠를 두고 왔어요.,나는 당신의 집에 열쇠를 두고 갔다.
4,clean your toys in the living room. no buts!,어서 거실에 있는 장난감 정리하세요. 토 달지 말고!,거실에서 장난감 청소해. 토 달지 말고!
5,Wages were raised across the board by 12 percent. ,임금이 일률적으로 12% 인상되었다,임금은 일괄적으로 12% 인상됐다.
6,"We can't make decisions yet, let's play it by ear.",아직 결정 내릴 수가 없어요. 상황 봐 가면서 진행합시다.,"우리는 아직 결정을 내릴 수 없어요, 상황에 맞게 하자."
7,"After my father-in-law said, ""Why are you making him cry?"", things went south.","시아버님이 ""왜 애를 울리냐?""라고 말씀하시고 나서부터 상황이 말리기 시작했다.","장인이 ""왜 그를 울고 있습니까?""라고 말한 후, 상황은 나빠졌습니다."
8,He went south to a warmer climate.,그는 기후가 더 따뜻한 남쪽으로 갔다.,그는 더 따뜻한 기후로 남쪽으로 갔다.
9,I didn't want to do it but he kept egging me on.,나는 그것을 하고 싶지 않았는데 그가 계속 부추겼다.,나는 하고 싶지 않았지만 그는 계속 나를 부추겼다.
10,That politician is notorious for egging on the crowd and making them assault the police. ,그 정치인은 군중이 경찰을 공격하게끔 선동하는 걸로 악명이 높잖아요.,그 정치인은 군중을 선동하고 그들을 경찰을 폭행하도록 하는 것으로 악명 높습니다.
11,I'd say she's doing just peachy.,내 말은 그녀가 정말 끝내주게 잘해내고 있다는 거야.,그녀가 아주 좋은 일을 하고 있다고 말하고 싶다.
12,Everyone there knew that he was just a sour grape.,거기 있는 모든 사람은 그가 오기를 부리는 것이라는 것을 알았다.,그곳의 모든 사람들은 그가 단지 오기라고 알고 있었습니다.
13,I can't tell which one is better because they are apples and oranges.,그 두 개가 서로 비교할 수 없는 대상이라 어떤 것이 더 좋은지 말할 수가 없다.,별개라서 어느 것이 더 나은지 알 수가 없어요.
14,He is a fan of both apple juice and orange juice.,그는 사과 주스와 오렌지 주스를 모두 좋아합니다.,그는 애플 주스와 오렌지 주스를 모두 좋아하는 사람이에요.
15,My dream job just fell into my lap.,내가 꿈꾸던 직장이 그냥 호박채 넝쿨 굴러 들어왔다.,내 꿈의 직업이 쿨째 들어왔어.
16,That's why he beat around the bush.,그래서 계속 빙빙 돌려 말하는 거죠.,그래서 그가 빙빙 돌리게 된 거야.
17,"Hey, cut me some slack. I'm only a few dollars short.","저기요, 조금만 봐 주세요. 단지 몇 달러가 부족해요.","야, 좀 봐주자. 내가 몇 달러밖에 안 되잖아."
18,Danny's family told him to “break a leg” right before he went up on stage.,"대니의 가족은 무대에 오르기 직전에 그에게 ""행운을 빈다고""고 말했습니다.",대니의 가족은 그가 무대에 오르기 직전에 그에게 “대박”이라고 말했습니다.
19,We can't cut corners when it comes to safety regulations in our factory.,우리 공장의 안전 규정에 관한 한 절차를 무시하고 대충 하는 건 안됩니다.,우리 공장의 안전 규정과 관련하여 우리는 절차를 생략할 수 없습니다.
20,"with father's wine in the back, I mustn't drive too fast. Easy does it","아버지의 와인을 뒤에 싣고, 빠르게 운전 하면 안되요. 신중하게 하세요.",아버지의 와인을 뒷면에 두고 운전을 너무 빨리 하지 마세요. 조심히 하세요.
21,it's so random. I never know how to dress in this kind of weather.,너무 뜬금없어요. 이런 날씨에 어떻게 옷을 입어야 할지 모르겠어요.,너무 뜬금없어요. 이런 날씨에 옷을 입는 법을 전혀 모르겠어요.
22,His carefully planned road trip started to go south when the car broke down in the middle of nowhere.,신중하게 계획된 그의 여행은 갑자기 차가 고장 나면서 상황이 악화되기 시작 했습니다.,신중하게 계획된 그의 여행은 갑자기 차가 고장 나면서 상황이 악화되기 시작 했습니다.
23,"When the surprise guest walked in, the kids at the birthday party went bananas with excitement.",깜짝 손님이 등장하자 생일 파티에 참석한 아이들은 신나서 난리가 났어요.,깜짝 게스트가 들어올 때 생일 파티의 아이들은 흥분으로 열광했습니다.
24,don't try and butter me up in order to get privileged information.,권한 있는 정보를 얻기 위해 저에게 아부하지 마세요.,특권적인 정보를 얻기 위해 나를 아부를 하지 마세요.
25,I love listening to this old jazz record. it never gets old!,오래된 재즈 음반을 듣는 것을 좋아합니다. 절대 질리지 않아요!,저는 이 옛날 재즈 음반 듣는 것을 좋아합니다. 절대 질리지 않아!
26,You're young and healthy and you have no commitments. The world is your oyster.,당신은 젊고 건강하며 책임 져야 할 일이 없습니다. 세상은 당신의 것이다.,너 젊고 건강하며 약속도 없어. 넌 뭐든 할 수 있어.
27,you already finished project? you are really on the ball.,벌써 프로젝트 끝냈다고? 너 진짜 똑똑하구나.,벌써 프로젝트를 완료했니? 완전 일중이야.
28,She told him that you're barking up the wrong tree because she had no idea.,"그녀는 당신이 헛다리 짚고 있다고 말했는데, 그녀는 아는 것이 전혀 없었기 때문이다.",그녀는 그에게 전혀 몰랐기 때문에 당신이 헛다리 짚고 있다고 말했습니다.
29,"the bookworms and the science enthusiasts formed close friendships, proving that birds of a feather flock together.","책벌레와 과학 애호가들이 밀접한 우정을 형성하여, 유유상종 임을 증명한다.",책벌레와 과학 enthusiast들은 밀접한 우정을 형성하여 유유상종이라는 것을 증명했습니다.
30,"His coach reminded him, 'Don't count your chickens before they hatch' to keep him focused on the upcoming match.",코치가 '김칫국 마시지 말라'는 말을 상기시키며 다가오는 경기에 집중할 수 있도록 했습니다.,그의 코치는 그가 다가오는 경기에 집중할 수 있도록 '김칫국부터 마시지 마라'고 상기시켜 주었습니다.
31,"After accidentally deleting his important presentation, he reminded himself not to cry over spilled milk and immediately started working on a new one.","중요한 프레젠테이션을 실수로 삭제한 후, 그는 엎질러진 물이라고, 스스로에게 다짐하고 즉시 새 프레젠테이션 작업을 시작했습니다.","그는 실수로 중요한 발표를 삭제한 후, 이미 엎질러진 물을 후회하지 말 것을 상기하고 즉시 새로운 발표를 시작했습니다."
32,"After their argument, she gave him the cold shoulder and didn't speak to him for days.",말다툼이 끝난 후 그녀는 냉담한 태도를 보였고 며칠 동안 그와 연락을 하지 않았습니다.,그들의 논쟁 후에 그녀는 그를 차갑게 대했고 며칠 동안 그와 말을 하지 않았습니다.
33,I have bigger fish to fry.,내 코가 석자라.,또 다른 중요한 할 일이 있어요.
34,"t was only her second or third audition, and she nailed it","단지 두번째 혹은 세번째 오디션이었는데, 그녀가 제대로 해냈어!","t는 그녀의 2차 혹은 3차 오디션 뿐이었고, 그녀는 그것을 성공했습니다."
35,"I just shrugged and said, 'Beats me.'",저는 그냥 어깨를 으쓱하며 '이겼어요'라고 말했죠.,"나는 멍하니 ""나한테 물어봐""라고 말했다."
36,What on earth happened here?,도대체 무슨 일이 있었던 거죠?,도대체 여기서 무슨 일이 일어났습니까?
37,The eerie sound of footsteps in the empty hallway made my hair stand on end.,텅 빈 복도에서 들리는 섬뜩한 발자국 소리에 머리카락이 쭈뼛 서는 것 같았습니다.,빈 복도에서 울렁거리는 걸음걸이로 머리가 쭈 서게 되었습니다.
38,"When it comes to investing in this new technology, do not miss the boat; it's a game-changer.",이 새로운 기술에 투자할 때는 판도를 바꿀 수 있는 기회를 놓치지 마세요.,이 새로운 기술에 투자할 때는 기회를 놓치지 마세요. 그것은 게임 전환기입니다.
