,en,ko,pred_koen
0,"Once upon a time, there were three beautiful butterflies.","옛날 옛적에, 세 마리의 예쁜 나비가 있었어요.","In the old days, there were three pretty butterflies."
1,I felt like I have millions butterflies in my stomach.,너무 긴장 한 것 같았어요.,I felt too nervous.
2,The deal was completely open and above board.,거래는 완전히 공개되었고 명백했습니다.,The deal was completely public and obvious.
3,I left the keys on the board on your porch.,현관 게시판에 열쇠를 두고 왔어요.,I left my keys on the front bulletin board.
4,clean your toys in the living room. no buts!,어서 거실에 있는 장난감 정리하세요. 토 달지 말고!,"Come on, organize the toys in the living room. No buts!"
5,Wages were raised across the board by 12 percent. ,임금이 일률적으로 12% 인상되었다,wages were increased by 12% on a uniform basis.
6,"We can't make decisions yet, let's play it by ear.",아직 결정 내릴 수가 없어요. 상황 봐 가면서 진행합시다.,I can't make a decision yet. Let's play it by ear.
7,"After my father-in-law said, ""Why are you making him cry?"", things went south.","시아버님이 ""왜 애를 울리냐?""라고 말씀하시고 나서부터 상황이 말리기 시작했다.","Things started to slow down when my father-in-law told me, ""Why are you having a hard time?"""
8,He went south to a warmer climate.,그는 기후가 더 따뜻한 남쪽으로 갔다.,He went south with a warmer clime.
9,I didn't want to do it but he kept egging me on.,나는 그것을 하고 싶지 않았는데 그가 계속 부추겼다.,"I didn't want to do it, but he kept egging me on."
10,That politician is notorious for egging on the crowd and making them assault the police. ,그 정치인은 군중이 경찰을 공격하게끔 선동하는 걸로 악명이 높잖아요.,The politician is notorious for egging the crowd on to attack the police.
11,I'd say she's doing just peachy.,내 말은 그녀가 정말 끝내주게 잘해내고 있다는 거야.,I'm telling her that she's getting the best of both worlds.
12,Everyone there knew that he was just a sour grape.,거기 있는 모든 사람은 그가 오기를 부리는 것이라는 것을 알았다.,Everyone there knew he was swine flu.
13,I can't tell which one is better because they are apples and oranges.,그 두 개가 서로 비교할 수 없는 대상이라 어떤 것이 더 좋은지 말할 수가 없다.,"The two are apples and oranges, so I can't say which one is better."
14,He is a fan of both apple juice and orange juice.,그는 사과 주스와 오렌지 주스를 모두 좋아합니다.,He likes both apple and orange juice.
15,My dream job just fell into my lap.,내가 꿈꾸던 직장이 그냥 호박채 넝쿨 굴러 들어왔다.,The job I dreamed of just fell into the bush.
16,That's why he beat around the bush.,그래서 계속 빙빙 돌려 말하는 거죠.,So I keep beating around the bush.
17,"Hey, cut me some slack. I'm only a few dollars short.","저기요, 조금만 봐 주세요. 단지 몇 달러가 부족해요.","Yeah, let me off the hook. I just need a few bucks."
18,Danny's family told him to “break a leg” right before he went up on stage.,"대니의 가족은 무대에 오르기 직전에 그에게 ""행운을 빈다고""고 말했습니다.","Danny's family told him, ""I'm peachyy"" just before they got onto the stage."
19,We can't cut corners when it comes to safety regulations in our factory.,우리 공장의 안전 규정에 관한 한 절차를 무시하고 대충 하는 건 안됩니다.,"As far as the safety regulations of our factory are concerned, it is necessary to ignore the procedures and cut them short."
