en,ko
Birds of a feather flock together,유유상종.
"Crop yields have fallen and to make matters worse, drought has dried up many water sources.",작물 수확량이 감소했고 설상가상으로 가뭄으로 인해 많은 수원이 말라버렸습니다.
Teaching teenagers to drive responsibly is like knocking my head against a wall.,십대들에게 책임감 있게 운전하라고 가르치는 것은 무의미한 시도를 하는 것과 같아요.
Figuring out how to use this software doesn't take a rocket scientist.,소프트웨어 사용하는 방법 알아 내는 거 그렇게 어렵지 않다.
"I saw John and Jane dating in the Starbucks. I thought they are both lawyers. Indeed, birds of a feather flock together.",나 제인이랑 존이 스타벅스에서 데이트 하는거 봤다. 게네 둘다 변호사야. 유유상종이라더니.
Their team is 40 points ahead in the game. It doesn't look like they can lose. They are sitting pretty.,그들의 팀은 게임에서 40점 앞서 있어요. 그들은 질 수 없을 것 같아요. 그들은 아주 편해 보여요.
We have to be careful here that we do not compare apples and oranges.,우리는 이 지점에서 상관성이 없는 두 주제를 혼돈하지 않도록 신중해야 합니다.
This version of model is not provided for the time being.,당분간 이 버전의 모델은 제공되지 않습니다.
"The player who replaced our star player is amazing, so I guess every cloud has a silver lining!","우리의 스타 선수를 대체한 선수가 놀랍기 때문에, 좋은 점도 있는 것 같아!"
"I'm not convinced that the dictator will be able to stay in power for much longer—even a worm will turn, you know.",나는 독재자가 오랫동안 권력을 유지할 수 있을 것이라고 확신하지 않습니다. 지렁이도 밟으면 꿈틀 하는 법 입니다.
He was carried away by his effective sales approach and bought the remainder of his products.,그는 자신의 효과적인 영업 방식에 사로잡혀 나머지 제품들을 구입했습니다.
You don't have to upset by breaking up with her. There are plenty more fish in the sea.,여자 친구와 헤어졌다고 낙심할 필요 없어. 앞으로 다른 사람 만날 기회 많아.
Judy doesn't like to make plans. She prefer play it by ear.,주디는 계획 세우는 걸 싫어해. 즉흥적으로 결정하는 것을 선호하지.
I can't wait to sink my teeth into this exciting new project.,저는 이 흥미진진한 새 프로젝트에 빨리 몰두하고 싶습니다.
My mom got bent out of shape when I came home late.,내가 집에 늦게 들어올 때 엄마가 화를 냈어.
"Well, I guess you can't have your cake and eat it too.","뭐, 모든 것을 가질 순 없지."
Mercedes jumped on the bandwagon and introduced its own version of the SUV.,메르세데스는 유행을 따라 그들만의 SUV 버전을 선보였습니다.
"Bill has offered to buy my car for $3,000 cash. Someone else might pay more, but a bird in the hand is worth two in the bush. ",빌이 현금 3000달러 가격으로 내 차를 사는 것을 제안했어. 누군가가 더 좋은 제안을 할지 모르겠지만 손 안에 든 새 한 마리는 풀 숲에 있는 두 마리 새의 가치가 나은 법이니깐.
"John said to his brother,  You better bring your car to the shop while it's still running, because a stitch in time saves nine.","존이 형에게 말했다, 차가 아직 움직일때, 정비소에 차 가져가 보는게 좋을 거야 왜냐면 지금의 수고가 나중에 더 큰 수고를 덜 수 있어. "
Her mother flew off the handle when she found out that her daughter dropped out of college.,그녀의 어머니는 그녀가 대학을 중퇴했다는 사실을 알게 되자 화가나 미쳐 버렸어요.
Why don't you ask your parents to go South this weekend?,이번 주말에 남쪽으로 놀러가자고 부모님께 얘기 해보는 게 어때요?
May be you should just call it a day.,그냥 이만 끝내는 것이 좋을거야.
"I was surprised when he came up with a decision, he usually just sits on the fence.","난 그가 결정을 내렸을 때 놀랐어, 그는 보통 결정을 내리지 못해."
