,en,ko,baseline_inference_enko,baseline_inference_koen
0,"Once upon a time, there were three beautiful butterflies.","옛날 옛적에, 세 마리의 예쁜 나비가 있었어요.",옛날에는 세 마리의 아름다운 나비가 있었다.,"In the old days, there were three pretty butterflies."
1,I felt like I have millions butterflies in my stomach.,너무 긴장 한 것 같았어요.,나는 위에 수백만 마리의 나비가 있는 것 같았어.,I felt so nervous.
2,The deal was completely open and above board.,거래는 완전히 공개되었고 명백했습니다.,그 거래는 완전히 개방되었고 이사회 위에 있었다.,The transaction was completely disclosed and clear.
3,I left the keys on the board on your porch.,현관 게시판에 열쇠를 두고 왔어요.,나는 당신의 porch에 키를 보드에 두고 왔어요.,I left the key on the front door bulletin board.
4,clean your toys in the living room. no buts!,어서 거실에 있는 장난감 정리하세요. 토 달지 말고!,거실에 있는 장난감을 깨끗하게 청소하세요! 안녕!,"Let's clean up the toys in the living room, don't go to bed!"
5,Wages were raised across the board by 12 percent.,임금이 일률적으로 12% 인상되었다,임금은 전체에서 12% 인상되었다.,wages were uniformly raised by 12%.
6,"We can't make decisions yet, let's play it by ear.",아직 결정 내릴 수가 없어요. 상황 봐 가면서 진행합시다.,"우리는 아직 결정을 할 수 없고, 귀로 연주합시다.",I can't make a decision yet. Let's proceed with the situation.
7,"After my father-in-law said, ""Why are you making him cry?"", things went south.","시아버님이 ""왜 애를 울리냐?""라고 말씀하시고 나서부터 상황이 말리기 시작했다.","시어머니가 “왜 울게 하는 거야”라고 말한 후, 세상은 남쪽으로 갔다.","After my father-in-law said, ""Why do you cry?"", the situation began to stop."
8,He went south to a warmer climate.,그는 기후가 더 따뜻한 남쪽으로 갔다.,그는 더 따뜻한 기후로 남쪽으로 갔다.,He went to the south where the climate was warmer.
9,I didn't want to do it but he kept egging me on.,나는 그것을 하고 싶지 않았는데 그가 계속 부추겼다.,나는 하고 싶지 않았는데 그는 자꾸 나를 괴롭히고 있었어요.,"I didn't want to do it, but he continued to encourage me."
