,en,ko,predictions
0,"Once upon a time, there were three beautiful butterflies.","옛날 옛적에, 세 마리의 예쁜 나비가 있었어요.",옛날엔 세 명의 아름다운 소녀가 있었습니다.
1,I felt like I have millions butterflies in my stomach.,너무 긴장 한 것 같았어요.,나는 수백만 명의 가슴이 두근두근 하는 것 같았어.
2,The deal was completely open and above board.,거래는 완전히 공개되었고 명백했습니다.,그 거래는 완전히 개방적이고 정상적이었다.
3,I left the keys on the board on your porch.,현관 게시판에 열쇠를 두고 왔어요.,나는 당신의 집에 열쇠를 올려놓았습니다.
4,clean your toys in the living room. no buts!,어서 거실에 있는 장난감 정리하세요. 토 달지 말고!,거실에서 장난감 청소해. 예외는 없어요!
5,Wages were raised across the board by 12 percent. ,임금이 일률적으로 12% 인상되었다,임금은 전반적으로 12% 인상되었다.
6,"We can't make decisions yet, let's play it by ear.",아직 결정 내릴 수가 없어요. 상황 봐 가면서 진행합시다.,"우리는 아직 결정을 내릴 수 없어, 유동적으로 처리하자."
7,"After my father-in-law said, ""Why are you making him cry?"", things went south.","시아버님이 ""왜 애를 울리냐?""라고 말씀하시고 나서부터 상황이 말리기 시작했다.","제 장인이 ""왜 그가 울게 하는 거야?""라고 말한 후에 상황이 나빠졌습니다."
8,He went south to a warmer climate.,그는 기후가 더 따뜻한 남쪽으로 갔다.,그는 더 따뜻한 기후로 남쪽으로 갔다.
9,I didn't want to do it but he kept egging me on.,나는 그것을 하고 싶지 않았는데 그가 계속 부추겼다.,나는 하고 싶지 않았지만 그는 계속 나를 부추겼다.
10,That politician is notorious for egging on the crowd and making them assault the police. ,그 정치인은 군중이 경찰을 공격하게끔 선동하는 걸로 악명이 높잖아요.,그 정치인은 군중을 선동해서 경찰을 폭행하도록 하는 것으로 악명이 높다.
11,I'd say she's doing just peachy.,내 말은 그녀가 정말 끝내주게 잘해내고 있다는 거야.,그녀는 그저 좋아하고 있다고 말하고 싶어.
12,Everyone there knew that he was just a sour grape.,거기 있는 모든 사람은 그가 오기를 부리는 것이라는 것을 알았다.,그곳에 있는 모든 사람들은 그가 그저 오기에 불과하다는 것을 알고 있었습니다.
13,I can't tell which one is better because they are apples and oranges.,그 두 개가 서로 비교할 수 없는 대상이라 어떤 것이 더 좋은지 말할 수가 없다.,미각과 미각이 다르기 때문에 어느 것이 더 나은지 알 수가 없습니다.
14,He is a fan of both apple juice and orange juice.,그는 사과 주스와 오렌지 주스를 모두 좋아합니다.,그는 애플 주스와 오렌지 주스를 모두 좋아합니다.
15,My dream job just fell into my lap.,내가 꿈꾸던 직장이 그냥 호박채 넝쿨 굴러 들어왔다.,내 꿈 같던 직업이 싹 어버렸어.
16,That's why he beat around the bush.,그래서 계속 돌려 말하는 거죠.,그게 그가 거짓말을 한 이유입니다.
17,"Hey, cut me some slack. I'm only a few dollars short.","저기요, 조금만 봐 주세요. 단지 몇 달러가 부족해요.","아뇨, 좀 봐주시겠어요. 제가 몇 달러밖에 안 되네요."
18,Danny's family told him to “break a leg” right before he went up on stage.,"대니의 가족은 무대에 오르기 직전에 그에게 ""행운을 빈다고""고 말했습니다.",대니의 가족은 그가 무대에 오르기 직전 그에게 “대박나라”고 말했습니다.
19,We can't cut corners when it comes to safety regulations in our factory.,우리 공장의 안전 규정에 관한 한 절차를 무시하고 대충 하는 건 안됩니다.,우리 공장의 안전 규제에 대해서는 어쩔 수 없어요.
20,"with father's wine in the back, I mustn't drive too fast. Easy does it","아버지의 와인을 뒤에 싣고, 빠르게 운전 하면 안되요. 신중하게 하세요.",아버지의 와인을 뒷면에 두고 너무 빨리 운전해서는 안 됩니다. 쉬운 운전이에요.
21,it's so random. I never know how to dress in this kind of weather.,너무 뜬금없어요. 이런 날씨에 어떻게 옷을 입어야 할지 모르겠어요.,너무 뜬금없어. 이런 날씨에 어떻게 옷을 입는지 모르겠어.
