,en,ko,predictionsEn
0,"Once upon a time, there were three beautiful butterflies.","옛날 옛적에, 세 마리의 예쁜 나비가 있었어요.","In the old days, there were three pretty butterflies."
1,I felt like I have millions butterflies in my stomach.,너무 긴장 한 것 같았어요.,I felt so nervous.
2,The deal was completely open and above board.,거래는 완전히 공개되었고 명백했습니다.,The deal was completely open and clear.
3,I left the keys on the board on your porch.,현관 게시판에 열쇠를 두고 왔어요.,I left my keys on the front wall.
4,clean your toys in the living room. no buts!,어서 거실에 있는 장난감 정리하세요. 토 달지 말고!,Let's organize your toy in the living room. No buts!
5,Wages were raised across the board by 12 percent.,임금이 일률적으로 12% 인상되었다,wages were increased by 12% uniformly.
6,"We can't make decisions yet, let's play it by ear.",아직 결정 내릴 수가 없어요. 상황 봐 가면서 진행합시다.,I can't make a decision yet. Let's play it by ear.
7,"After my father-in-law said, ""Why are you making him cry?"", things went south.","시아버님이 ""왜 애를 울리냐?""라고 말씀하시고 나서부터 상황이 말리기 시작했다.","When my father-in-law told me, ""Why are you crying?"" things started to dry up."
8,He went south to a warmer climate.,그는 기후가 더 따뜻한 남쪽으로 갔다.,He went south with a warmer climate.
9,I didn't want to do it but he kept egging me on.,나는 그것을 하고 싶지 않았는데 그가 계속 부추겼다.,"I didn't want to do it, but he kept pushing me around."
10,That politician is notorious for egging on the crowd and making them assault the police.,그 정치인은 군중이 경찰을 공격하게끔 선동하는 걸로 악명이 높잖아요.,The politician is notorious for inducing the crowd to attack the police.
11,I'd say she's doing just peachy.,내 말은 그녀가 정말 끝내주게 잘해내고 있다는 거야.,What I say is that she's really doing well.
12,Everyone there knew that he was just a sour grape.,거기 있는 모든 사람은 그가 오기를 부리는 것이라는 것을 알았다.,Everyone there knew he was sour grapes.
13,I can't tell which one is better because they are apples and oranges.,그 두 개가 서로 비교할 수 없는 대상이라 어떤 것이 더 좋은지 말할 수가 없다.,"The two are indispensable targets, so I can't say which one is better than the other."
14,He is a fan of both apple juice and orange juice.,그는 사과 주스와 오렌지 주스를 모두 좋아합니다.,He likes both apple and orange juice.
15,My dream job just fell into my lap.,내가 꿈꾸던 직장이 그냥 호박채 넝쿨 굴러 들어왔다.,The job I dreamed of just got a drop in the bucket.
16,That's why he beat around the bush.,그래서 계속 돌려 말하는 거죠.,That's why I keep telling you back.
17,"Hey, cut me some slack. I'm only a few dollars short.","저기요, 조금만 봐 주세요. 단지 몇 달러가 부족해요.","Yeah, please let me off the hook. I just need a few bucks."
18,Danny's family told him to “break a leg” right before he went up on stage.,"대니의 가족은 무대에 오르기 직전에 그에게 ""행운을 빈다고""고 말했습니다.","Danny's family told him just before they got on the stage, ""I wish you good luck."""
19,We can't cut corners when it comes to safety regulations in our factory.,우리 공장의 안전 규정에 관한 한 절차를 무시하고 대충 하는 건 안됩니다.,"As far as our factory's safety regulations are concerned, you shouldn't ignore the procedures and cut them off."
20,"with father's wine in the back, I mustn't drive too fast. Easy does it","아버지의 와인을 뒤에 싣고, 빠르게 운전 하면 안되요. 신중하게 하세요.",You shouldn't drive fast with your father's wine behind you. Do it carefully.
21,it's so random. I never know how to dress in this kind of weather.,너무 뜬금없어요. 이런 날씨에 어떻게 옷을 입어야 할지 모르겠어요.,It's so random. I don't know how to dress up in this weather.
22,His carefully planned road trip started to go south when the car broke down in the middle of nowhere.,신중하게 계획된 그의 여행은 갑자기 차가 고장 나면서 상황이 악화되기 시작 했습니다.,His carefully planned trip began to go south when the car broke down at the drop of a hat.
23,"When the surprise guest walked in, the kids at the birthday party went bananas with excitement.",깜짝 손님이 등장하자 생일 파티에 참석한 아이들은 신나서 난리가 났어요.,"When the surprise customer appeared, the children who attended the birthday party went bananas."
24,don't try and butter me up in order to get privileged information.,권한 있는 정보를 얻기 위해 저에게 아부하지 마세요.,Don't go bananas for me to get the right information.
25,I love listening to this old jazz record. it never gets old!,오래된 재즈 음반을 듣는 것을 좋아합니다. 절대 질리지 않아요!,I like to listen to old jazz records. I never get old!
26,You're young and healthy and you have no commitments. The world is your oyster.,당신은 젊고 건강하며 책임 져야 할 일이 없습니다. 세상은 당신의 것이다.,"You are young, healthy, and have nothing to take responsibility for. The world is your oyster."
27,you already finished project? you are really on the ball.,벌써 프로젝트 끝냈다고? 너 진짜 똑똑하구나.,Are you already completing the project? You are a smart man.
28,She told him that you're barking up the wrong tree because she had no idea.,"그녀는 당신이 헛다리 짚고 있다고 말했는데, 그녀는 아는 것이 전혀 없었기 때문이다.",She said you were barking up the wrong tree because she had nothing to know.
29,"the bookworms and the science enthusiasts formed close friendships, proving that birds of a feather flock together.","책벌레와 과학 애호가들이 밀접한 우정을 형성하여, 유유상종 임을 증명한다.","Bookworms and science lovers form a close friendship, proving that birds of a feather flock together."
30,"His coach reminded him, 'Don't count your chickens before they hatch' to keep him focused on the upcoming match.",코치가 '김칫국 마시지 말라'는 말을 상기시키며 다가오는 경기에 집중할 수 있도록 했습니다.,"The coach reminded him of the saying, ""Don't count your chickens."" so that he could focus on the upcoming game."
31,"After accidentally deleting his important presentation, he reminded himself not to cry over spilled milk and immediately started working on a new one.","중요한 프레젠테이션을 실수로 삭제한 후, 그는 엎질러진 물이라고, 스스로에게 다짐하고 즉시 새 프레젠테이션 작업을 시작했습니다.","After missing an important presentation by mistake, he vowed himself that it was spilt milk and started working on the new presentation at the drop of a hat."
32,"After their argument, she gave him the cold shoulder and didn't speak to him for days.",말다툼이 끝난 후 그녀는 냉담한 태도를 보였고 며칠 동안 그와 연락을 하지 않았습니다.,"After the argument, she showed a cold attitude and did not contact him for days."
33,I have bigger fish to fry.,내 코가 석자라.,I have my own fish to fry.
34,"t was only her second or third audition, and she nailed it","단지 두번째 혹은 세번째 오디션이었는데, 그녀가 제대로 해냈어!","It was just the second or third audition, but she did it right!"
35,"I just shrugged and said, 'Beats me.'",저는 그냥 어깨를 으쓱하며 '이겼어요'라고 말했죠.,"I just shook my shoulders and said, 'You won'."
36,What on earth happened here?,도대체 무슨 일이 있었던 거죠?,What happened?
